u,v,AA
242,741,0.0
406,370,0.0
149,556,0.0
2521991,275,0.0
550,77,0.0
489,755,0.0
608,445,0.04038461538461539
35,44,0.1388888888888889
740,719,0.0
567,758,0.02127659574468085
39,740,0.0
810,145,0.0
571,285,0.0
200,700,0.0
146270,257,0.0
59,121,0.08333333333333333
275,341,0.02127659574468085
198,615,0.0
143,541,0.0
305,406,0.0
193,547,0.058823529411764705
332,657,0.015384615384615385
63,657,0.0
233,205,0.0
143,5,0.0
611,35,0.060714285714285714
834,568,0.0
483,445,0.025
714,402,0.0
861,714,0.0
547,609,0.0
459,534,0.0
755,775,0.0
247,396,0.0
390,34,0.0
714,758,0.0
697,588,0.0
145,77,0.0
193,145,0.0
42,58,0.0
232,63,0.0
556,448,0.015384615384615385
376,373,0.0
373,414,0.0
758,266,0.0
233,657,0.015384615384615385
34,145,0.0
42,525,0.02127659574468085
285,414,0.0
61,318,0.0
326,87,0.0
422,202,0.015384615384615385
563,428,0.0
613,115,0.02127659574468085
317,361,0.0
364,195,0.0
447,588,0.0
350,44,0.0
234,631,0.0
810,288,0.0
825,292,0.0
483,117,0.02127659574468085
162,431,0.0
834,419,0.0
292,188,0.0
627,308,0.0
825,332,0.0
96,279,0.0
396,572,0.025
59,797,0.125
200,614,0.02127659574468085
782,730,0.0
838,285,0.0
61,93,0.0
700,782,0.0
13,795,0.0
288,419,0.0
72,111,0.0
206,446,0.0
361,897,0.0
514,521,0.1607142857142857
673,193,0.0
518,200,0.08794326241134752
876,267,0.0
404,230,0.015384615384615385
162,534,0.0
2089740,795,0.0
796,394,0.0
200,30,0.0
507,75,0.05
371,572,0.0
377,287,0.0
188,429,0.14285714285714285
571,608,0.16666666666666666
536,96,0.0
316,39,0.0
189,99,0.0
714,106,0.0
264,550,0.14285714285714285
380,203,0.0
568,370,0.08333333333333333
67,856,0.0
72,832,0.0
429,779,0.0
432,362,0.0
162,680,0.0
308,115,0.0
781,59,0.0
852,888,0.125
189,745,0.0
740,796,0.0
615,341,0.0
615,106,0.015384615384615385
49,457,0.06666666666666667
219,123,0.0
235,567,0.0
719,85,0.0
224,361,0.0
13,445,0.0
514,232,0.045454545454545456
40,381,0.038461538461538464
779,431,0.0
781,357,0.125
163,419,0.0
67,380,0.0
598,861,0.0
63,121,0.0
837,376,0.0
145,247,0.0
888,234,0.0
60,667,0.058823529411764705
204,763,0.0
162,322,0.0
489,99,0.05
547,636,0.0
207,162,0.0
392,115,0.0
431,233,0.0
493,195,0.0
22,189,0.0
163,563,0.0
550,825,0.0
33,614,0.0
37,247,0.0
288,414,0.0
917,737,0.0
360,792,0.0
614,888,0.0
645,726,0.0
63,42,0.0
432,703,0.0
44,779,0.0
27687,534,0.025
200,621,0.0
673,730,0.0
361,423,0.0
288,12081,0.0
799,917,0.0
267,117,0.02127659574468085
108465,543,0.0
93,200,0.0
428,163,0.0
536,810,0.0
35,726,0.0510989010989011
680,305,0.0
205,666,0.0
528,779,0.0
238,619,0.0
631,813,0.0
856,740,0.0
27687,373,0.0
536,706,0.0
99,288,0.0
394,235,0.0
67,147,0.0
383,619,0.029411764705882353
792,2521991,0.0
264,17,0.0
350,373,0.125
115,758,0.02127659574468085
