u,v,CN
242,741,0
406,370,0
149,556,0
2521991,275,0
550,77,0
489,755,0
608,445,2
35,44,2
740,719,0
567,758,1
39,740,0
810,145,0
571,285,0
200,700,0
146270,257,0
59,121,1
275,341,1
198,615,0
143,541,0
305,406,0
193,547,1
332,657,1
63,657,0
233,205,0
143,5,0
611,35,2
834,568,0
483,445,1
714,402,0
861,714,0
547,609,0
459,534,0
755,775,0
247,396,0
390,34,0
714,758,0
697,588,0
145,77,0
193,145,0
42,58,0
232,63,0
556,448,1
376,373,0
373,414,0
758,266,0
233,657,1
34,145,0
42,525,1
285,414,0
61,318,0
326,87,0
422,202,1
563,428,0
613,115,1
317,361,0
364,195,0
447,588,0
350,44,0
234,631,0
810,288,0
825,292,0
483,117,1
162,431,0
834,419,0
292,188,0
627,308,0
825,332,0
96,279,0
396,572,1
59,797,1
200,614,1
782,730,0
838,285,0
61,93,0
700,782,0
13,795,0
288,419,0
72,111,0
206,446,0
361,897,0
514,521,2
673,193,0
518,200,2
876,267,0
404,230,1
162,534,0
2089740,795,0
796,394,0
200,30,0
507,75,1
371,572,0
377,287,0
188,429,1
571,608,1
536,96,0
316,39,0
189,99,0
714,106,0
264,550,1
380,203,0
568,370,1
67,856,0
72,832,0
429,779,0
432,362,0
162,680,0
308,115,0
781,59,0
852,888,1
189,745,0
740,796,0
615,341,0
615,106,1
49,457,1
219,123,0
235,567,0
719,85,0
224,361,0
13,445,0
514,232,1
40,381,1
779,431,0
781,357,1
163,419,0
67,380,0
598,861,0
63,121,0
837,376,0
145,247,0
888,234,0
60,667,1
204,763,0
162,322,0
489,99,1
547,636,0
207,162,0
392,115,0
431,233,0
493,195,0
22,189,0
163,563,0
550,825,0
33,614,0
37,247,0
288,414,0
917,737,0
360,792,0
614,888,0
645,726,0
63,42,0
432,703,0
44,779,0
27687,534,1
200,621,0
673,730,0
361,423,0
288,12081,0
799,917,0
267,117,1
108465,543,0
93,200,0
428,163,0
536,810,0
35,726,2
680,305,0
205,666,0
528,779,0
238,619,0
631,813,0
856,740,0
27687,373,0
536,706,0
99,288,0
394,235,0
67,147,0
383,619,1
792,2521991,0
264,17,0
350,373,1
115,758,1
313,42,0
71,370,0
588,373,1
614,184,0
51,483,2
462,842,1
231,87,0
775,598,0
357,186,1
402,613,0
538,404,0
423,383,7
529,897,0
117,371,0
402,571,0
116,91,6
431,121,0
193,380,1
781,445,0
737,889,0
326,219,0
40,184,0
91,528,0
13,259,0
145,837,0
445,2089740,0
825,275,0
507,12081,0
580,527,1
308,459,0
428,1,0
2089740,302,0
26,318,1
71,770,0
619,797,0
285,76,0
889,33,0
444,224,0
922,842,0
507,372,1
299,194,0
916,318,0
716,188,0
2089740,193,0
225,384,2
137,33,0
371,106,0
72,813,1
303,528,0
316,133,0
422,567,1
299,164,0
93,479,1
889,414,0
332,285,0
311,117,0
888,521,0
303,186,0
242,312,0
428,878,0
75,439,0
390,219,0
457,657,0
741,350,0
277,745,0
312,60,0
238,58,0
67,71,0
361,588,0
785,27687,0
341,834,0
163,93,0
259,224,0
700,274,0
309844,146270,0
267,428,0
373,605,0
22,673,1
437,572,1
781,189,0
437,267,2
722,77,0
203,147,0
