u,v,PA
242,364,1
1750,1309,4
1894,657,0
1958,1666,45
1367,17,176
872,842,33
233,1649,3
486,39,36
486,888,0
1769,172,49
1897,233,1
1370,1486,18
1680,666,5
377,225,15
1461,72,5
377,689,3
26,1710,42
1921,1862,42
270,342,6
150,1373,35
1638,100,8
1384,137,18
131,1192,0
92,1063,150
2099426,1975282,9
1694,1533,20
525,1750,4
1542,1461,10
257,905,294
234,115,77
199,1851,5
1666,1618,27
1747,1248,1
1968,2010,2
832,1597,4
905,1853,378
1340,369,9
340,203,4
1194,1920,0
350,1993,15
33,1192,6
109,534,8
534,796,0
1100,204,8
1486,1720,2
1517,1165587,2
568,1665,12
14446,689,6
1992,1367,40
2019,29,3
1462,406,2
1030,1848,140
810,1569,9
714,311,8
1204,203,4
1178,1293,3
149,1940,100
794,1337,2
1373,699,30
1179,645,2
298,1449,5
1782,1975282,81
1061,2031,3
1338,234,11
581,2089740,2
95,568,2
1693,14446,84
741,1441,3
810,1414,51
1179,484,2
1960,46,6
1970,9,2
29,1409,6
751,1043,54
25,1449,55
31505,40,224
380,100,36
1165587,1951,18
1894,1659,135
1644,1737,0
1970,1497,2
889,357,9
893,296,30
1813,685,7
751,854,2
1886,1615,64
544,838,7
396,1204,8
212,1223,5
1538,1982,5
886,1675,4
285,1063,90
1703,534,42
689,914,14
1311,565,11
96,338,11
1323,1695,48
572,2007,36
1168,22,18
1193,1695,8
122,912,42
755,229,0
568,751,4
219,588,3
1733,689,1
692,936,4
854,748,14
1554,1720,40
534,33,12
1799,1199387,35
1536,1709,50
219,1147,1
318,1612,6
255,714,20
479,1585,69
194,55,72
1511,1769,42
1854,556,3
377,51,24
48281,1,0
1436,391,22
1680,733,35
2031,572,12
1870,525,16
940,1477,2
1658,590,2
274,459,6
1117,527,22
430,1944,110
1248,1048,3
1992,1389,10
317,1781,4
1611,1518,5
1618,1793,6
611,1950,9
748,1541,56
1816,1310,33
212,689,1
1633,340,9
1185,1560,154
1461,1953,1
534,1958,10
1441,525,3
1624,1782,18
30,1870,0
648,1801,24
1344,1624,44
2018,39,52
1373,1043,135
1529,437,4
916,178,1
1517,39,4
2056,1030,70
960,517,22
544,912,3
1694,1854,4
1958,1194,10
184,1541,48
1392,292,3
1421,1585,9
770,142,0
1190,1618,45
205,1030,14
1199,685,3
338,1912,66
1517,419,8
993,619,12
1365,22,18
1025,832,12
1866,1508,3
92,588,30
373,1797,45
1848,137,90
544,1851,1
26,1853,63
1996,1110,45
51,9,8
1968,842,6
1063,157,30
1726,1116,8
423,1109,12
1013,1940,40
429,61,36
224,1813,21
1130097,1912,36
1414,1970,34
311,1094,4
1851,1178,3
872,340,11
1178,1950,3
796,1533,0
1483,889,3
1797,1592,15
1470,872,77
186,1533,5
446497,877,54
689,2019,3
1194,1697,4
1409,31505,96
1538,83,35
832,274,12
233,12081,4
357,1580,72
1891,1013,8
1130097,1976,18
1940,1944,55
1891,1227,3
338,1046,0
1508,29,3
1340,785,1
349,92,10
482,626,1
565,1490,6
40,259,42
1744,1194,22
230,1946,6
17,1323,264
716,1970,10
1818,391,8
1463,1545,290
430,1649,30
1862,1739,70
744,1970,8
225,770,80
30,1480,0
1449,1862,35
785,1174,1
1849,1585,9
83,446,28
1124,1616,6
1769,1904,35
1675,958,14
1976,1611,15
1848,1992,50
429,342,24
1975,547,6
1920,1147,0
255,92,50
1654,541,12
1752,1340,9
1122,1467,21
519,1848,30
1438,157,28
580,1781,8
178,338,11
349,1065,1
296,1940,15
1954,1407,15
277,988,10
1025,396,24
740,51,32
1254,2010,8
1337,658,0
1630,2019,33
685,791,9
296,1109,18
1441,383,18
204,1782,36
4,636,6
486,257,63
225,40,70
164,1384652,22
868,1025,6
446,1730,16
1929,512,1
233,58,7
318,229,0
1569,1344,66
109,1363,24
993,1061,6
689,1782,9
1000,888,0
137,26,63
2007,4,3
162,1597,3
645,1511,12
966,419,16
1904,257,35
459,2007,6
960,1219,209
1084,432,72
267,394,0
2041,1545,20
1616,1953,3
1624,116,36
1914,966,6
1799,1026,20
813,1667,2
1968,1340,2
1193,1545,20
3180,1248,10
889,733,7
718,483,15
748,536,28
1314,740,4
1494,590,1
1654,952,4
626,1737,0
1597,1627,3
1208,1881,12
1982,430,10
48281,1904,0
149,302,40
1944,1762,55
1920,1793,0
33,1592,6
1416,1046,0
1233,1862,56
803,224,15
338,1314,11
1416,733,7
123,825,20
267,1935,9
1212,893,130
1478,1116,40
1776,672,36
307,2089740,4
1739,2,20
2019,482,3
1695,1494,4
834,1461,11
714,1545,40
832,1658,8
1891,1490,6
1821,456,3
1164871,1725,2
1818,1680,20
188,1462,4
3582,1453,0
727,406,4
1851,1738,1
25,1006,77
46,2047,4
1063,794,30
1752,212,9
489,1569,12
33,1392,6
1462,2031,1
58,993,14
456,1323,12
41,123,20
648,1208,12
2007,131,0
1491,219,9
1638,1227,6
863,1368,60
1490,178,6
317,1790,8
838,194,126
738,1363,6
960,298,11
1644,905,168
1438,1384,28
1220,1790,18
1178,423,6
770,276,32
396,1490,48
430,571,20
1592,2024,4
437,1737,0
1109,72,30
619,1337,6
891,493,85
350,26,35
1954,484,6
1323,1433,36
1228,1649,48
1471,311,2
572,1944,132
1960,1199,9
1877,1541,0
1063,1013,120
645,271,4
1409,1542,60
544,1050,1
1752,1025,27
993,736,6
578,741,4
1875,1970,18
137,666,9
645,33,12
2018,116,234
1799,568,10
493,567,17
748,1110,126
26,1124,14
838,40,98
1585,1,30
1042,1228,144
952,392,16
1130097,1680,30
404,1920,0
48281,653,0
517,1954,6
489,1793,8
1340,832,4
1659,1069,270
1199,1477,6
832,1389,8
811,1266,26
1227,1730,12
29,83,7
116,1627,54
611,1078,144
1130097,2011,12
893,805,80
2010,1365,3
