u,v,GD
242,364,0
1750,1309,0
1894,657,0
1958,1666,-4
1367,17,-2
872,842,-3
233,1649,0
486,39,-4
486,888,0
1769,172,-4
1897,233,0
1370,1486,-3
1680,666,0
377,225,-4
1461,72,-3
377,689,0
26,1710,-3
1921,1862,-3
270,342,-4
150,1373,-4
1638,100,-4
1384,137,-2
131,1192,0
92,1063,-3
2099426,1975282,-4
1694,1533,-4
525,1750,0
1542,1461,-3
257,905,-3
234,115,-3
199,1851,-4
1666,1618,-2
1747,1248,0
1968,2010,-4
832,1597,0
905,1853,-2
1340,369,-4
340,203,-4
1194,1920,0
350,1993,-2
33,1192,-3
109,534,0
534,796,0
1100,204,0
1486,1720,0
1517,1165587,0
568,1665,0
14446,689,-3
1992,1367,-3
2019,29,-4
1462,406,0
1030,1848,-3
810,1569,-4
714,311,-4
1204,203,-4
1178,1293,0
149,1940,-3
794,1337,0
1373,699,-4
1179,645,0
298,1449,0
1782,1975282,-3
1061,2031,-4
1338,234,-4
581,2089740,0
95,568,-4
1693,14446,-3
741,1441,-4
810,1414,-3
1179,484,-4
1960,46,-3
1970,9,0
29,1409,-4
751,1043,-3
25,1449,-2
31505,40,-3
380,100,-4
1165587,1951,-4
1894,1659,-2
1644,1737,0
1970,1497,-4
889,357,0
893,296,-3
1813,685,-3
751,854,0
1886,1615,-3
544,838,0
396,1204,0
212,1223,-4
1538,1982,-4
886,1675,-4
285,1063,-3
1703,534,-4
689,914,-3
1311,565,-4
96,338,-4
1323,1695,-4
572,2007,-3
1168,22,-3
1193,1695,-3
122,912,-4
755,229,0
568,751,0
219,588,-3
1733,689,-4
692,936,-3
854,748,-4
1554,1720,-4
534,33,-4
1799,1199387,-4
1536,1709,-3
219,1147,-4
318,1612,-3
255,714,-3
479,1585,-3
194,55,-3
1511,1769,-4
1854,556,0
377,51,-4
48281,1,0
1436,391,-4
1680,733,-4
2031,572,-4
1870,525,-4
940,1477,0
1658,590,0
274,459,0
1117,527,0
430,1944,-3
1248,1048,0
1992,1389,-4
317,1781,0
1611,1518,-4
1618,1793,-4
611,1950,-3
748,1541,-3
1816,1310,-3
212,689,-4
1633,340,-4
1185,1560,-3
1461,1953,0
534,1958,-4
1441,525,-4
1624,1782,-4
30,1870,0
648,1801,-4
1344,1624,-3
2018,39,-4
1373,1043,-2
1529,437,0
916,178,0
1517,39,0
2056,1030,-3
960,517,-4
544,912,0
1694,1854,0
1958,1194,0
184,1541,-3
1392,292,0
1421,1585,-4
770,142,0
1190,1618,-3
205,1030,0
1199,685,-3
338,1912,-4
1517,419,-4
993,619,0
1365,22,-4
1025,832,-4
1866,1508,-4
92,588,-4
373,1797,-4
1848,137,-3
544,1851,0
26,1853,-3
1996,1110,-4
51,9,-3
1968,842,-4
1063,157,-3
1726,1116,-4
423,1109,-3
1013,1940,-2
429,61,-3
224,1813,-3
1130097,1912,-4
1414,1970,-3
311,1094,-4
1851,1178,-4
872,340,-4
1178,1950,-4
796,1533,0
1483,889,-4
1797,1592,-4
1470,872,-2
186,1533,-4
446497,877,-3
689,2019,-4
1194,1697,0
1409,31505,-3
1538,83,-4
832,274,0
233,12081,0
357,1580,-3
1891,1013,-4
1130097,1976,-4
1940,1944,-4
1891,1227,-4
338,1046,0
1508,29,-3
1340,785,0
349,92,-4
482,626,-4
565,1490,-3
40,259,-4
1744,1194,0
230,1946,-4
17,1323,-2
716,1970,-4
1818,391,-2
1463,1545,-3
430,1649,-2
1862,1739,-2
744,1970,-3
225,770,-3
30,1480,0
1449,1862,-4
785,1174,0
1849,1585,-4
83,446,-3
1124,1616,-3
1769,1904,-4
1675,958,-3
1976,1611,-4
1848,1992,-4
429,342,-2
1975,547,0
1920,1147,0
255,92,-3
1654,541,-4
1752,1340,-4
1122,1467,-4
519,1848,0
1438,157,-4
580,1781,0
178,338,0
349,1065,0
296,1940,-4
1954,1407,-3
277,988,-4
1025,396,-4
740,51,-2
1254,2010,-4
1337,658,0
1630,2019,-4
685,791,-4
296,1109,-3
1441,383,-4
204,1782,-4
4,636,0
486,257,-2
225,40,-3
164,1384652,-3
868,1025,0
446,1730,-4
1929,512,0
233,58,0
318,229,0
1569,1344,-3
109,1363,-4
993,1061,0
689,1782,-2
1000,888,0
137,26,-2
2007,4,0
162,1597,0
645,1511,-4
966,419,-3
1904,257,-2
459,2007,0
960,1219,-1
1084,432,-3
267,394,0
2041,1545,-4
1616,1953,-4
1624,116,-4
1914,966,-3
1799,1026,-4
813,1667,-4
1968,1340,-4
1193,1545,-3
3180,1248,-4
889,733,0
718,483,-4
748,536,-2
1314,740,-4
1494,590,0
1654,952,0
626,1737,0
1597,1627,0
1208,1881,-4
1982,430,-4
48281,1904,0
149,302,-3
1944,1762,0
1920,1793,0
33,1592,-4
1416,1046,0
1233,1862,-3
803,224,-4
338,1314,-4
1416,733,-4
123,825,-3
267,1935,0
1212,893,-3
1478,1116,-4
1776,672,-4
307,2089740,0
1739,2,-4
2019,482,-4
1695,1494,0
834,1461,-4
714,1545,-3
832,1658,-4
1891,1490,0
1821,456,-4
1164871,1725,-4
1818,1680,-4
188,1462,-4
3582,1453,0
727,406,-4
1851,1738,0
25,1006,-3
46,2047,-4
1063,794,-3
1752,212,-3
489,1569,-3
33,1392,0
1462,2031,0
58,993,0
456,1323,-3
41,123,-2
648,1208,-2
2007,131,0
1491,219,-3
1638,1227,-3
863,1368,0
1490,178,-4
317,1790,-3
838,194,-3
738,1363,-4
960,298,-4
1644,905,-2
1438,1384,-4
1220,1790,-3
1178,423,-2
770,276,-4
396,1490,-4
430,571,-4
1592,2024,-4
437,1737,0
1109,72,-3
619,1337,0
891,493,-3
350,26,-4
1954,484,-4
1323,1433,-3
1228,1649,-2
1471,311,0
572,1944,-3
1960,1199,-3
1877,1541,0
1063,1013,-3
645,271,-4
1409,1542,-2
544,1050,0
1752,1025,-4
993,736,0
578,741,-3
1875,1970,-4
137,666,-3
645,33,-4
2018,116,-2
1799,568,-4
493,567,-4
748,1110,-2
26,1124,-4
838,40,-3
1585,1,-2
1042,1228,-2
952,392,-4
1130097,1680,-2
404,1920,0
48281,653,0
517,1954,-4
489,1793,0
1340,832,-4
1659,1069,-2
1199,1477,-4
832,1389,-3
811,1266,-4
1227,1730,-3
29,83,-3
116,1627,-4
611,1078,-3
1130097,2011,-3
893,805,-2
2010,1365,-4
318,1994,0
626,1726,-4
745,653,-3
60,1000,0
137,522,-2
889,212,0
1573,1164871,0
1078,1658,-3
987,1602,-4
1122,637,-4
123,1414,-2
2099426,916,0
658,637,0
708,1797,-3
432,1703,-3
1799,186,-4
380,230,-1
1341,1615,-4
784,229,0
1553,1897,-4
230,2016,0
149,527,-4
1168,888,0
1944,92,-4
186,64,0
1813,1929,0
2007,803,-3
1866,1953,0
1630,1050,-4
364,1710,-1
322,58,-2
1497,33,-4
1384652,2011,-3
1897,1368,-3
714,1,-3
1471,1940,0
1677,91,-4
1412,292,-3
2010,48281,0
916,58,-3
1688440,184,-3
741,175,-4
905,916,-4
2018,1490,-4
1030,580,-3
1841,1116,-3
615,1432,-4
432,1384652,-2
194,1951,-2
1810,1223,-4
1982,999,-4
1786,483,-3
396,364,0
1690,1477,0
1954,1870,-3
91,1677,-4
966,1192,0
1,1958,-3
164,1154,-3
437,1069,-4
9,1950,0
14446,1654,-4
1006,914,-3
1346,219,0
1293,1266,0
430,1670,0
482,2018,-2
1658,483,-4
35,952,-4
527,1238,0
1725,722,-4
1835,1929,0
2010,91,-3
109,1659,-4
1752,1812,-4
446497,1517,-4
1875,1726,-4
1739,175,-3
755,9,0
1880,296,-4
1835,993,0
527,1494,0
312,578,0
186,912,-4
2006,727,-3
459,672,-4
318,1323,-3
741,302,0
1975282,868,-4
383,33,-3
1392,198,0
115,1810,-4
1344,275,-3
