u,v,PA
242,741,0
406,370,90
149,556,28
2521991,275,3
550,77,6
489,755,63
608,445,48
35,44,76
740,719,12
567,758,96
39,740,18
810,145,11
571,285,84
200,700,0
146270,257,24
59,121,81
275,341,27
198,615,24
143,541,12
305,406,54
193,547,24
332,657,25
63,657,5
233,205,49
143,5,27
611,35,114
834,568,12
483,445,42
714,402,40
861,714,80
547,609,36
459,534,5
755,775,9
247,396,20
390,34,39
714,758,96
697,588,20
145,77,3
193,145,2
42,58,80
232,63,5
556,448,140
376,373,6
373,414,36
758,266,36
233,657,35
34,145,13
42,525,50
285,414,24
61,318,5
326,87,10
422,202,63
563,428,0
613,115,15
317,361,1
364,195,27
447,588,15
350,44,36
234,631,36
810,288,22
825,292,4
483,117,49
162,431,50
834,419,44
292,188,10
627,308,16
825,332,10
96,279,2
396,572,140
59,797,144
200,614,15
782,730,8
838,285,8
61,93,2
700,782,0
13,795,21
288,419,44
72,111,42
206,446,44
361,897,1
514,521,153
673,193,18
518,200,30
876,267,52
404,230,69
162,534,25
2089740,795,12
796,394,32
200,30,55
507,75,40
371,572,21
377,287,40
188,429,45
571,608,168
536,96,3
316,39,3
189,99,4
714,106,96
264,550,12
380,203,17
568,370,30
67,856,4
72,832,14
429,779,27
432,362,40
162,680,55
308,115,40
781,59,27
852,888,18
189,745,2
740,796,48
615,341,72
615,106,96
49,457,48
219,123,5
235,567,64
719,85,2
224,361,3
13,445,42
514,232,85
40,381,168
779,431,30
781,357,84
163,419,44
67,380,68
598,861,20
63,121,9
837,376,3
145,247,1
888,234,36
60,667,14
204,763,55
162,322,30
489,99,28
547,636,120
207,162,5
392,115,25
431,233,70
493,195,84
22,189,3
163,563,6
550,825,4
33,614,30
37,247,4
288,414,12
917,737,1
360,792,8
614,888,9
645,726,57
63,42,5
432,703,80
44,779,12
27687,534,35
200,621,0
673,730,18
361,423,18
288,12081,0
799,917,4
267,117,182
108465,543,7
93,200,10
428,163,0
536,810,33
35,726,361
680,305,33
205,666,21
528,779,6
238,619,6
631,813,3
856,740,6
27687,373,42
536,706,3
99,288,8
394,235,32
67,147,24
383,619,195
792,2521991,2
264,17,30
350,373,54
115,758,60
313,42,0
71,370,60
588,373,30
614,184,3
51,483,119
462,842,6
231,87,6
775,598,2
357,186,84
402,613,15
538,404,23
423,383,1170
529,897,1
117,371,21
402,571,105
116,91,1360
431,121,90
193,380,34
781,445,18
737,889,5
326,219,25
40,184,6
91,528,80
13,259,7
145,837,3
445,2089740,24
825,275,6
507,12081,0
580,527,80
308,459,8
428,1,0
2089740,302,8
26,318,75
71,770,120
619,797,48
285,76,12
889,33,50
444,224,3
922,842,1
507,372,35
299,194,24
916,318,10
716,188,0
2089740,193,8
225,384,60
137,33,110
371,106,36
72,813,7
303,528,2
316,133,8
422,567,56
299,164,6
93,479,8
889,414,30
332,285,20
311,117,7
888,521,27
303,186,3
242,312,0
428,878,0
75,439,40
390,219,15
457,657,30
741,350,9
277,745,18
312,60,28
238,58,32
67,71,48
361,588,5
785,27687,14
341,834,18
163,93,4
259,224,3
