u,v,GD
159,311,-4
72,22,-2
146270,233,-4
152,205,-3
296,264,-3
51,5,-2
373,195,-3
86,22,-4
146270,33,-4
269,17,-2
157,149,-2
72,434,-3
111,287,-3
371,51,-2
39,26,-2
22,287,-4
232,5,-3
8,372,-4
428,102,0
192,149,-1
143,122,-3
76,188,-3
131,194,-3
1,157,-2
431,206,-3
370,350,-3
32,195,-2
305,287,-3
8,51,-3
311,76,-3
257,318,-3
304,83,-3
152,161,-4
17,157,-2
49,117,-2
136,116,-2
2089740,86,-1
431,59,-4
137,287,-3
340,2,-3
85,422,-4
428,153,-3
216,363,0
246,33,-3
231,117,-3
231,398,-4
172,269,-3
304,316,-2
48,30,-2
59,372,-3
44,72,-4
364,9,-3
173,2,-3
350,1,-2
159,243,-4
371,431,-4
395,59,-3
172,122,-3
117,121,-3
63,198,-3
72,195,-2
102,350,-4
72,399,-3
42,275,-4
188,370,-2
42,92,-3
95,161,0
302,72,-2
157,398,0
230,77,-3
232,143,-3
32,45,-4
37,1,-3
22,170,-4
117,313,-3
350,5,-2
71,309844,-3
95,417,-3
59,13,-2
434,96,-3
186,100,-3
77,92,-3
2,372,-4
186,61,-2
267,25,-1
143,36,-3
193,200,-2
37,48,-3
224,277,-4
389,51,-3
1384652,163,-3
372,304,-3
224,188,-4
17,122,-2
86,145,-3
59,131,-2
422,83,-3
193,149,-3
2089740,395,-2
313,22,-4
163,267,-3
350,357,-3
369,191,-3
318,77,-4
5,380,-2
86,59,-2
71,124,-2
33,152,-3
205,188,-3
238,149,-3
287,307,-2
147,163,-3
136,271,-3
271,145,-3
78,45,-4
313,184,0
311,122,-4
308,186,-3
25,224,-3
71,341,-3
188,398,0
269,13,-2
9,287,-3
92,266,-3
86,340,-3
373,5,-2
238,328,-4
373,34,-2
398,83,-4
186,269,-2
101,328,-4
264,137,-3
232,219,-3
44,143,-4
153,390,0
243,26,-3
266,44,-4
205,161,-4
164,372,0
5,313,-3
243,72,-2
372,81,-4
377,364,-4
143,349,-2
304,51,-2
363,149,0
358,431,-4
22,207,-4
396,111,-3
390,34,0
390,102,0
106,147,-3
328,194,-1
106,417,-3
96,398,-4
305,342,-4
51,195,-1
264,146270,-3
404,72,-3
342,85,-4
149,384,-4
192,55,-2
93,287,-3
50,350,-2
34,305,-2
77,157,-4
67,58,-3
195,96,-3
395,146270,-3
349,417,-3
173,145,-3
206,146270,-3
63,204,-3
153,370,-4
302,40,-3
214,143,-3
61,78,-2
395,116,-3
1,234,-2
243,170,-4
372,102,-4
292,308,-2
242,204,-4
371,191,-3
63,384,0
25,233,-3
172,102,-3
67,83,-1
243,303,-3
13,234,-3
100,399,-4
384,188,-4
1384652,231,-2
243,77,-1
328,396,-3
277,59,-3
161,287,0
188,271,-4
172,153,-3
398,173,-4
188,191,-3
45,302,-4
131,340,-2
93,157,-3
224,122,-4
44,194,-3
67,93,-3
122,2089740,-2
92,332,-3
233,116,-2
203,115,-2
95,259,-4
184,204,0
243,267,-3
192,117,-2
332,123,-4
101,390,0
92,30,-3
307,399,-3
275,5,-3
219,2,-3
384,147,0
55,44,-4
313,92,-4
285,259,-4
67,193,-3
33,26,-2
81,96,-3
25,357,-4
9,384,0
157,86,-2
205,340,-2
111,302,-3
157,46,-3
35,184,0
410,307,-2
309844,233,-3
308,243,-3
358,372,-1
170,308,-3
184,373,0
78,42,-3
115,205,-3
231,102,-4
266,111,-2
417,157,-3
259,394,-1
328,173,-4
384,136,-4
33,243,-4
312,76,-2
124,305,-4
242,2,-4
71,219,-3
371,45,-4
42,318,-3
364,303,-4
48,312,-2
33,305,-3
1384652,428,-3
313,266,-3
369,37,-3
37,370,-4
271,77,-3
78,414,-3
59,242,-2
81,72,-2
364,86,0
193,277,-2
225,370,-4
394,102,-4
357,318,0
137,394,-3
304,377,-3
67,5,-3
92,61,-2
399,264,-4
398,100,-4
312,358,-3
78,296,-3
311,25,-4
358,83,-3
434,146270,-4
117,86,-2
1,428,-3
369,225,-3
61,189,0
200,199,-2
46,9,-1
243,292,-3
203,332,-3
304,8,-4
206,328,-3
199,86,-2
124,349,-3
313,219,-4
193,369,-3
207,394,-4
287,233,-3
67,111,-2
219,163,-4
95,124,-3
1384652,410,-3
44,200,-3
45,157,-3
287,312,-3
78,26,-3
124,195,-4
303,184,0
417,44,-4
404,296,-4
328,193,-3
238,304,-3
205,232,-3
242,100,-3
225,402,-3
234,63,-4
186,395,-4
192,153,-3
36,146270,-4
86,76,-3
172,93,-2
372,5,-3
296,145,-3
203,414,-2
44,342,0
78,311,-4
313,396,-4
230,398,0
60,164,0
340,398,-3
431,257,-4
96,340,-2
369,373,-2
191,267,-3
188,25,-2
399,35,-3
30,309844,-2
