u,v,JC
13,708,0.0
615,121,0.0
1192,897,0.0
459,204,0.0
627,837,0.0
1343,1025,0.0
519,1100,0.0
1249,1117,0.0
459,834,0.0
1193,889,0.0
614,381,0.0
1043,619,0.0
394,1309,0.0
396,61,0.047619047619047616
872,1108,0.0
736,1061,0.0
1026,1220,0.02702702702702703
534,1247,0.0
184,209,0.0
1322,1144,0.0
364,1389,0.0
162,99,0.0
547,556,0.0
615,1192,0.0
742,1146,0.25
636,842,0.0
1016,439,0.09090909090909091
1337,974,0.0
731,1204,0.0
231,459,0.0
993,1026,0.0625
1194,813,0.0
1111,304,0.0
150,842,0.0
1347,396,0.0
1030,611,0.0
96,35,0.0
318,115,0.1111111111111111
163,960,0.0
999,232,0.0
380,149,0.0
203,5,0.05555555555555555
137,1291,0.0
700,730,0.0
493,1057,0.0
225,1219,0.0
1,194,0.058823529411764705
77,1389,0.0
116,1178,0.03225806451612903
1271,547,0.0
1108,563,0.0
1343,1194,0.0
805,1030,0.0
527,163,0.0
811,276,0.0
666,1370,0.0
738,400,0.0
40,1142,0.0
304,1318,0.0
551,1276,0.0
296,392,0.0
527,493,0.0
304,763,0.0
999,993,0.0
364,1050,0.0
178,225,0.0
121,1069,0.0
825,954,0.0
1219,922,0.0
288,912,0.07142857142857142
831,245,0.0
178,285,0.0
541,731,0.0
396,1042,0.0
952,238,0.0
1192,917,0.0
631,170,0.0
233,209,0.0
304,1025,0.0
1358,202,0.0
1368,349,0.0
1194,738,0.0
292,423,0.0
414,1078,0.0
95,853,0.0
259,999,0.0
203,648,0.08333333333333333
960,1271,0.10526315789473684
1256,46,0.0
1368,396,0.0
627,578,0.0
968,1057,0.0
1075,1284,0.0
1291,742,0.0
17,493,0.08888888888888889
233,259,0.0
392,1297,0.0
35,143,0.0
1065,231,0.0
381,31505,0.03225806451612903
1178,1030,0.0
298,568,0.0
337,1208,0.06666666666666667
697,170,0.0
922,322,0.0
1053,993,0.0
35,298,0.0
204,863,0.0
25,765,0.0
805,886,0.0
493,637,0.0851063829787234
1111,646,0.0
396,2090742,0.0
1228206,423,0.0
136,1370,0.0
655,1185,0.05555555555555555
763,242,0.0
448,518,0.0
893,837,0.0
974,219,0.0
1238,1025,0.0
1069,1057,0.0
803,179,0.0
1043,697,0.0
572,891,0.0
72,30,0.0
363,312,0.0
740,961,0.09090909090909091
1311,40,0.0
259,203,0.0
337,1293,0.0
718,727,0.0
722,1065,0.05555555555555555
1035,1356,0.0
891,804,0.0
832,811,0.0
1179,121,0.0
755,1026,0.0
748,1195,0.0
1223,960,0.05263157894736842
1169,1142,0.0
936,1010,0.0
1389,1069,0.0
1368,985,0.0
71,219,0.0
9,784,0.0
999,296,0.0
357,448,0.0
1343,740,0.0
648,259,0.0
568,974,0.0
893,525,0.0
1010,966,0.0
459,897,0.0
234,731,0.0
115,49,0.0
1094,685,0.0
519,541,0.0
91,1392,0.0
940,547,0.0
275,1358,0.0
268,748,0.0
406,1271,0.0
259,917,0.0
1043,571,0.06060606060606061
26,1219,0.047619047619047616
1048,733,0.0
1384652,298,0.0
162,831,0.0
767,230,0.0
483,518,0.0
1339,556,0.0
205,209,0.0
225,1358,0.0
55,1057,0.0
888,832,0.043478260869565216
1227,571,0.0
430,1317,0.0
1013,767,0.0
298,810,0.0
1108,267,0.0
1069,1366,0.0
115,637,0.043478260869565216
357,285,0.0
342,225,0.0
974,645,0.0
1174,791,0.0
887,447,0.0
1057,825,0.0
1310,912,0.0
825,349,0.0
342,1297,0.0
55,1042,0.0
1030,541,0.0
2090742,974,0.0
13,392,0.0
205,943,0.0
1185,1147,0.0
92,914,0.0
268,232,0.0
39,1192,0.0
195,1271,0.0
116,784,0.0
741,1256,0.0
288,58,0.0
92,731,0.0
27687,1271,0.0
439,1048,0.0
25,917,0.0
1356,219,0.0
207,1228206,0.0
588,274,0.0
1204,891,0.0
204,1266,0.0
1322,782,0.0
93,311,0.0
931,716,0.0
117,149,0.0
58,1111,0.0
202,304,0.25
737,164,0.0
767,1030,0.0
1063,322,0.04
1322,1061,0.0
242,556,0.0
1117,298,0.0
1154,446,0.0
556,27687,0.0
1368,1367,0.0
302,763,0.0
1084,556,0.1
233,655,0.0
748,567,0.0
785,1208,0.0
373,999,0.07142857142857142
259,39,0.0
1144,900,0.0
30,198,0.0
714,204,0.0
202,349,0.0
238,71,0.07142857142857142
631,1347,0.0
398,1341,0.0
588,999,0.0
1265,1154,0.07692307692307693
887,91,0.0
1309,276,0.0
804,1048,0.0
741,1271,0.0
1310,392,0.0
954,245,0.0
326,1000,0.0
163,825,0.0
571,247,0.043478260869565216
59,257,0.0
398,716,0.058823529411764705
522,966,0.0
810,1389,0.0
178,571,0.0
259,157,0.0
296,797,0.0
708,832,0.0
350,1293,0.0
1297,1343,0.0
1227,699,0.0
342,1344,0.0
1100,1318,0.0
1219,391,0.0
655,12081,0.0
99,137,0.0
627,680,0.0
207,804,0.0
205,831,0.0
9,184,0.0
784,648,0.0
341,738,0.0
342,547,0.0
17,872,0.0
714,116,0.0
912,1228206,0.0
164,1975282,0.0
1346,627,0.0
1194,1208,0.0
1228206,447,0.0
370,637,0.0
551,483,0.0
1204,400,0.0
459,1276,0.0
961,13,0.0
1026,999,0.0
745,95,0.0
627,96,0.0
234,672,0.0
1025,588,0.0
