u,v,CN
13,708,0
615,121,0
1192,897,0
459,204,0
627,837,0
1343,1025,0
519,1100,0
1249,1117,0
459,834,0
1193,889,0
614,381,0
1043,619,0
394,1309,0
396,61,1
872,1108,0
736,1061,0
1026,1220,1
534,1247,0
184,209,0
1322,1144,0
364,1389,0
162,99,0
547,556,0
615,1192,0
742,1146,2
636,842,0
1016,439,1
1337,974,0
731,1204,0
231,459,0
993,1026,1
1194,813,0
1111,304,0
150,842,0
1347,396,0
1030,611,0
96,35,0
318,115,1
163,960,0
999,232,0
380,149,0
203,5,1
137,1291,0
700,730,0
493,1057,0
225,1219,0
1,194,2
77,1389,0
116,1178,1
1271,547,0
1108,563,0
1343,1194,0
805,1030,0
527,163,0
811,276,0
666,1370,0
738,400,0
40,1142,0
304,1318,0
551,1276,0
296,392,0
527,493,0
304,763,0
999,993,0
364,1050,0
178,225,0
121,1069,0
825,954,0
1219,922,0
288,912,1
831,245,0
178,285,0
541,731,0
396,1042,0
952,238,0
1192,917,0
631,170,0
233,209,0
304,1025,0
1358,202,0
1368,349,0
1194,738,0
292,423,0
414,1078,0
95,853,0
259,999,0
203,648,1
960,1271,2
1256,46,0
1368,396,0
627,578,0
968,1057,0
1075,1284,0
1291,742,0
17,493,4
233,259,0
392,1297,0
35,143,0
1065,231,0
381,31505,1
1178,1030,0
298,568,0
337,1208,1
697,170,0
922,322,0
1053,993,0
35,298,0
204,863,0
25,765,0
805,886,0
493,637,4
1111,646,0
396,2090742,0
1228206,423,0
136,1370,0
655,1185,1
763,242,0
448,518,0
893,837,0
974,219,0
1238,1025,0
1069,1057,0
803,179,0
1043,697,0
572,891,0
72,30,0
363,312,0
740,961,1
1311,40,0
259,203,0
337,1293,0
718,727,0
722,1065,1
1035,1356,0
891,804,0
832,811,0
1179,121,0
755,1026,0
748,1195,0
1223,960,1
1169,1142,0
936,1010,0
1389,1069,0
1368,985,0
71,219,0
9,784,0
999,296,0
357,448,0
1343,740,0
648,259,0
568,974,0
893,525,0
1010,966,0
459,897,0
234,731,0
115,49,0
1094,685,0
519,541,0
91,1392,0
940,547,0
275,1358,0
268,748,0
406,1271,0
259,917,0
1043,571,2
26,1219,1
1048,733,0
1384652,298,0
162,831,0
767,230,0
483,518,0
1339,556,0
205,209,0
225,1358,0
55,1057,0
888,832,1
1227,571,0
430,1317,0
1013,767,0
298,810,0
1108,267,0
1069,1366,0
115,637,1
357,285,0
342,225,0
974,645,0
1174,791,0
887,447,0
1057,825,0
1310,912,0
825,349,0
342,1297,0
55,1042,0
1030,541,0
2090742,974,0
13,392,0
205,943,0
1185,1147,0
92,914,0
268,232,0
39,1192,0
195,1271,0
116,784,0
741,1256,0
288,58,0
92,731,0
27687,1271,0
439,1048,0
25,917,0
1356,219,0
207,1228206,0
588,274,0
1204,891,0
204,1266,0
1322,782,0
93,311,0
931,716,0
117,149,0
58,1111,0
202,304,1
737,164,0
767,1030,0
1063,322,1
1322,1061,0
242,556,0
1117,298,0
1154,446,0
556,27687,0
1368,1367,0
302,763,0
1084,556,1
233,655,0
748,567,0
785,1208,0
373,999,1
259,39,0
1144,900,0
30,198,0
714,204,0
202,349,0
238,71,1
631,1347,0
398,1341,0
588,999,0
1265,1154,1
887,91,0
1309,276,0
804,1048,0
741,1271,0
1310,392,0
954,245,0
326,1000,0
163,825,0
571,247,1
59,257,0
398,716,1
522,966,0
810,1389,0
178,571,0
259,157,0
296,797,0
708,832,0
350,1293,0
1297,1343,0
1227,699,0
342,1344,0
1100,1318,0
1219,391,0
655,12081,0
99,137,0
627,680,0
207,804,0
205,831,0
9,184,0
784,648,0
341,738,0
342,547,0
17,872,0
714,116,0
912,1228206,0
164,1975282,0
1346,627,0
1194,1208,0
1228206,447,0
370,637,0
551,483,0
1204,400,0
459,1276,0
961,13,0
1026,999,0
745,95,0
627,96,0
234,672,0
1025,588,0
1108,276,0
1193,1318,0
257,150,1
1366,245,0
95,311,0
886,1035,0
437,1016,0
1185,121,0
770,1337,0
64,92,1
447,33,0
1194,1174,0
716,1341,0
93,224,0
432,993,0
305,232,0
1077,1309,0
1247,1245,0
737,745,0
615,1063,2
1366,1223,0
1146,233,0
322,1026,0
1016,900,0
205,853,0
231,568,0
350,556,0
22,1370,0
1356,1077,0
751,414,1
1108,1147,0
985,35,0
1185,672,0
383,507,0
33,9,0
292,796,0
1063,1238,1
738,672,0
565,92,0
837,259,0
572,912,0
163,305,0
927,91,0
163,296,0
736,238,0
631,285,0
235,571,0
39,439,0
288,1192,0
27687,392,0
238,2089740,0
571,568,0
1309,1057,0
1,432,1
1147,832,1
277,804,0
1199,1220,0
198,912,0
810,917,0
207,247,0
512,1208,0
238,522,0
446,373,0
162,391,0
770,960,0
1077,242,0
810,257,1
788,1266,0
834,917,2
326,891,0
551,1367,0
893,1025,0
1078,230,0
1061,1175,0
349,75,0
396,1366,1
231,31505,0
954,12081,0
337,2089740,0
341,578,0
479,782,0
242,968,0
268,912,0
1084,1384652,1
619,203,0
872,1356,0
1100,298,0
2759376,202,0
573,1975282,1
1175,1000,0
1035,788,0
71,982,0
198,162,0
916,700,0
648,33,0
234,1293,1
198,338,0
886,1276,0
58,338,0
77,1192,1
1175,842,1
1341,571,0
853,1204,0
796,2089740,0
1389,242,0
275,968,1
437,1389,0
507,952,0
1057,1053,0
646,1208,0
563,26,0
927,1368,0
1104,93,0
1169,274,0
1111,942,0
646,889,0
763,534,0
1175,1195,0
708,1037,0
512,1117,0
1317,123,0
588,231,0
755,188,0
922,9,0
312,391,0
565,657,0
645,685,0
1013,30,0
341,810,0
993,646,0
1043,1334,0
123,2759376,0
364,580,0
349,439,0
1228,872,2
931,1228,0
178,742,0
489,377,0
1256,1228206,0
13,1213,0
891,685,0
536,1025,0
795,33,0
1084,1014,0
1254,512,0
952,439,0
202,186,0
685,188,0
195,337,1
184,811,0
188,163,0
803,519,0
204,1356,0
736,396,0
905,1370,2
1339,927,0
716,51,0
1174,943,0
534,1122,0
429,952,0
1220,1016,1
164,370,0
1042,1175,0
727,837,1
2090742,534,0
274,1358,0
430,1146,0
99,1344,0
259,785,0
404,288,0
83,784,0
163,1016,0
446,993,0
33,751,0
143,493,0
1228206,391,0
547,1233,0
1146,277,0
888,247,0
755,71,0
648,1367,0
748,588,0
685,383,1
404,2090742,0
381,83,0
219,954,0
1195,522,0
1271,349,0
285,547,0
26,1026,0
1392,838,0
770,1370,0
966,259,0
1104,72,0
1334,162,0
268,162,0
1014,116,0
99,184,0
952,481,0
1178,364,0
1346,525,0
238,952,0
960,645,0
1318,203,0
541,891,0
1069,432,0
1341,813,0
927,961,0
